term,has_definition,has_taxonomy,term_only_uri_presence,uri_only_sources,definitions_and_fallback_hierarchy,definitions_count,taxonomy_paths_count,sources,sources_count,embedding_text,sssom_source_pairs,semantically_similar_terms,initial_category,recommended_action,category_rationale,candidate_merged_definition_draft,term_norm,definitions_text_norm,sources_list,strong_hits,weak_hits,farfield_hits,admin_hits,heliophysics_source_hits,category_priority,evidence_strength,relevance_score,workshop_priority_score,exclude_farfield,exclude_low_relevance,manual_include,manual_exclude,selected_for_ranking
yohkoh__wbs_sxs,False,True,False,,HELIO Ontology: YOHKOH__WBS_SXS,0,1,HELIO Ontology,1,HELIO Ontology hierarchy: YOHKOH__WBS_SXS,,yohkoh__wbs_grs (0.66) | yohkoh__wbs_hxs (0.66) | yohkoh (0.60) | yohkoh__hxt (0.45) | yohkoh__sxt (0.44) | yohkoh__bcs (0.43) | yohkoh sxt observation catalog (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,yohkoh__wbs_sxs,helio ontology: yohkoh__wbs_sxs,['helio ontology'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
young - environmental systems,False,True,False,,GEMET: YOUNG - Environmental Systems,0,1,GEMET,1,GEMET hierarchy: YOUNG - Environmental Systems,,young (0.35) | infant (0.35) | environmental performance (0.35) | marsupial (0.34),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,young - environmental systems,gemet: young - environmental systems,['gemet'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
youth,True,False,False,,GEMET: The state of being young; the period between childhood and adult age.,1,0,GEMET,1,GEMET: The state of being young; the period between childhood and adult age.,,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,youth,gemet: the state of being young; the period between childhood and adult age.,['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
yunnan_astronomical_observatory,False,True,False,,HELIO Ontology: Yunnan_Astronomical_Observatory,0,1,HELIO Ontology,1,HELIO Ontology hierarchy: Yunnan_Astronomical_Observatory,,solar_dynamic_observatory (0.43) | ondrejov_observatory (0.40) | mees_observatory (0.40) | mitaka_observatory (0.40) | kanzelhoehe_solar_observatory (0.39) | huairou_solar_observatory (0.38) | udaipur_solar_observatory (0.38) | astronomical body (0.38),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,yunnan_astronomical_observatory,helio ontology: yunnan_astronomical_observatory,['helio ontology'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
zone,False,True,False,,HELIO Ontology: Zone,0,1,HELIO Ontology,1,HELIO Ontology hierarchy: Zone,,radiation zone (0.61) | convection zone (0.56) | g (0.54) | 0 (0.52) | coordinate (0.52) | composition (0.50) | phenomenon (0.47) | record (0.46),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,zone,helio ontology: zone,['helio ontology'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
zoological garden,True,False,False,,"GEMET: Area in which animals, especially wild animals, are kept so that people can go and look at them, or study them.",1,0,GEMET,1,"GEMET: Area in which animals, especially wild animals, are kept so that people can go and look at them, or study them.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,zoological garden,"gemet: area in which animals, especially wild animals, are kept so that people can go and look at them, or study them.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
access rights,True,False,False,,SPASE Dictionary: Permissions granted or denied by the host ofa product to allow other users to access and use the resource.,1,0,SPASE Dictionary,1,SPASE Dictionary: Permissions granted or denied by the host ofa product to allow other users to access and use the resource.,,open (0.36),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,access rights,spase dictionary: permissions granted or denied by the host ofa product to allow other users to access and use the resource.,['spase dictionary'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
accounting,True,False,False,,GEMET: Method of recording all the transactions affecting the financial condition of a business or organization.,1,0,GEMET,1,GEMET: Method of recording all the transactions affecting the financial condition of a business or organization.,,national accounting (0.57) | bookkeeping (0.49),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,accounting,gemet: method of recording all the transactions affecting the financial condition of a business or organization.,['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
active participation,True,False,False,,"GEMET: The involvement, either by an individual or a group of individuals, in their own governance or other activities, with the purpose of exerting influence.",1,0,GEMET,1,"GEMET: The involvement, either by an individual or a group of individuals, in their own governance or other activities, with the purpose of exerting influence.",,public participation (0.46) | community participation (0.46),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,active participation,"gemet: the involvement, either by an individual or a group of individuals, in their own governance or other activities, with the purpose of exerting influence.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
administration,True,True,False,,"GEMET: The management or direction of the affairs of a public or private office, business or organization.",1,1,GEMET,1,"GEMET: The management or direction of the affairs of a public or private office, business or organization.",,administrative competence (0.63) | tariff (0.39) | administrative instructions (0.38) | branch of activity (0.33) | trade policy (0.30),Category 3 — Conflicting,Flag for structured analysis,"Different conceptual boundaries/scope detected (mean=0.00, min=0.00, distinct_superclasses=1)",,administration,"gemet: the management or direction of the affairs of a public or private office, business or organization.",['gemet'],0,1,0,1,0,4.0,1.1090354888959124,0.19999999999999996,0.34238606485538997,False,True,False,False,False
"administration, management, policy, politics, institutions, planning",False,True,False,,"GEMET: ADMINISTRATION, MANAGEMENT, POLICY, POLITICS, INSTITUTIONS, PLANNING",0,1,GEMET,1,"GEMET hierarchy: ADMINISTRATION, MANAGEMENT, POLICY, POLITICS, INSTITUTIONS, PLANNING",,enlargement policy (0.55) | policy guideline (0.39) | nature conservation policy (0.38) | landscape conservation policy (0.37) | chemical policy (0.37) | environmental priority (0.37) | environmental quality objective (0.36) | research policy (0.36),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,"administration, management, policy, politics, institutions, planning","gemet: administration, management, policy, politics, institutions, planning",['gemet'],0,1,0,1,0,1.0,0.4158883083359672,0.19999999999999996,0.044171779141104296,False,True,False,False,False
administrative competence,True,False,False,,"GEMET: The skill, knowledge, qualification, capacity or authority to manage or direct the affairs of a public or private office, business or organization.",1,0,GEMET,1,"GEMET: The skill, knowledge, qualification, capacity or authority to manage or direct the affairs of a public or private office, business or organization.",,administration (0.63) | legislative competence (0.46) | minister competence (0.42) | farming technique (0.34) | teaching (0.33),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,administrative competence,"gemet: the skill, knowledge, qualification, capacity or authority to manage or direct the affairs of a public or private office, business or organization.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
administrative court (administration),True,False,False,,"GEMET: An independent, specialized judicial tribunal in which judges or officials are authorized by a government agency to conduct hearings and render decisions in proceedings between the government agency and the persons, businesses or other organizations that it regulates.",1,0,GEMET,1,"GEMET: An independent, specialized judicial tribunal in which judges or officials are authorized by a government agency to conduct hearings and render decisions in proceedings between the government agency and the persons, businesses or other organizations that it regulates.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,administrative court (administration),"gemet: an independent, specialized judicial tribunal in which judges or officials are authorized by a government agency to conduct hearings and render decisions in proceedings between the government agency and the persons, businesses or other organizations that it regulates.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
administrative deed,True,False,False,,GEMET: Any formal and legitimate step taken or decision made on matters of policy by a chief or other top-level officer within an organization.,1,0,GEMET,1,GEMET: Any formal and legitimate step taken or decision made on matters of policy by a chief or other top-level officer within an organization.,,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,administrative deed,gemet: any formal and legitimate step taken or decision made on matters of policy by a chief or other top-level officer within an organization.,['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
administrative instructions,True,False,False,,"GEMET: Education in the theories and practices of managing an office, business or organization.",1,0,GEMET,1,"GEMET: Education in the theories and practices of managing an office, business or organization.",,administration (0.38),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,administrative instructions,"gemet: education in the theories and practices of managing an office, business or organization.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
aid policy,True,False,False,,"GEMET: A course of action adopted and pursued by government or some other organization that promotes or determines the allocation of assistance, support or relief, often from one country to another.",1,0,GEMET,1,"GEMET: A course of action adopted and pursued by government or some other organization that promotes or determines the allocation of assistance, support or relief, often from one country to another.",,trade policy (0.58) | territorial policy (0.51) | education policy (0.49) | scientific policy (0.47) | policy planning (0.45) | space policy (0.41) | construction policy (0.39) | government policy (0.38),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,aid policy,"gemet: a course of action adopted and pursued by government or some other organization that promotes or determines the allocation of assistance, support or relief, often from one country to another.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
allocation,True,False,False,,GEMET: The assignment or allotment of resources to various uses in accord with a stated goal or policy.,1,0,GEMET,1,GEMET: The assignment or allotment of resources to various uses in accord with a stated goal or policy.,,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,allocation,gemet: the assignment or allotment of resources to various uses in accord with a stated goal or policy.,['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
balancing of interests,True,False,False,,"GEMET: Considering, weighing or counterbalancing the competing political or financial concerns of different parts of society, including industries, consumers, trade unions and other groups or organizations.",1,0,GEMET,1,"GEMET: Considering, weighing or counterbalancing the competing political or financial concerns of different parts of society, including industries, consumers, trade unions and other groups or organizations.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,balancing of interests,"gemet: considering, weighing or counterbalancing the competing political or financial concerns of different parts of society, including industries, consumers, trade unions and other groups or organizations.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
biodegradability,True,False,False,,"GEMET: The extent to which a substance can be decomposed - or rotted - by bacteria and fungi. Implies that residues from degradation are nontoxic. One of the most misleading claims in business, because shoppers often assume a biodegradable product to be harmless. Some harmful compounds take much longer to degrade than others and the product can harm the environment while it is rotting. Biodegradation may also be incomplete, sometimes leaving residues in the environment which are more harmful than the original substance. Accumulation in the environment of nonbiodegradable (or poorly biodegradable) substances, such as some biocides, can cause serious problems.",1,0,GEMET,1,"GEMET: The extent to which a substance can be decomposed - or rotted - by bacteria and fungi. Implies that residues from degradation are nontoxic. One of the most misleading claims in business, because shoppers often assume a biodegradable product to be harmless. Some harmful compounds take much longer to degrade than others and the product can harm the environment while it is rotting. Biodegradation may also be incomplete, sometimes leaving residues in the environment which are more harmful than the original substance. Accumulation in the environment of nonbiodegradable (or poorly biodegradable) substances, such as some biocides, can cause serious problems.",,environmentally friendly product (0.33),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,biodegradability,"gemet: the extent to which a substance can be decomposed - or rotted - by bacteria and fungi. implies that residues from degradation are nontoxic. one of the most misleading claims in business, because shoppers often assume a biodegradable product to be harmless. some harmful compounds take much longer to degrade than others and the product can harm the environment while it is rotting. biodegradation may also be incomplete, sometimes leaving residues in the environment which are more harmful than the original substance. accumulation in the environment of nonbiodegradable (or poorly biodegradable) substances, such as some biocides, can cause serious problems.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
bookkeeping,True,False,False,,GEMET: The art or science of recording business accounts and transactions.,1,0,GEMET,1,GEMET: The art or science of recording business accounts and transactions.,,accounting (0.49) | national accounting (0.47) | didactics (0.40) | horticulture (0.40) | farming technique (0.38) | medical science (0.33) | medicine (practice) (0.33) | shipbuilding (0.32),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,bookkeeping,gemet: the art or science of recording business accounts and transactions.,['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
branch of activity,True,False,False,,GEMET: A specialized division of a business or other organization.,1,0,GEMET,1,GEMET: A specialized division of a business or other organization.,,administration (0.33) | closing down of firm (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,branch of activity,gemet: a specialized division of a business or other organization.,['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
bubble policy (emissions trading),True,False,False,,"GEMET: EPA policy that allows a plant complex with several facilities to decrease pollution from some facilities while increasing it from others, so long as total results are equal to or better than previous limits. Facilities where this is done are treated as if they exist in a bubble in which total emissions are averaged out.",1,0,GEMET,1,"GEMET: EPA policy that allows a plant complex with several facilities to decrease pollution from some facilities while increasing it from others, so long as total results are equal to or better than previous limits. Facilities where this is done are treated as if they exist in a bubble in which total emissions are averaged out.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,bubble policy (emissions trading),"gemet: epa policy that allows a plant complex with several facilities to decrease pollution from some facilities while increasing it from others, so long as total results are equal to or better than previous limits. facilities where this is done are treated as if they exist in a bubble in which total emissions are averaged out.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
business activity,True,False,False,,"GEMET: Any profit-seeking undertaking or venture that involves the production, sale and purchase of goods or services.",1,0,GEMET,1,"GEMET: Any profit-seeking undertaking or venture that involves the production, sale and purchase of goods or services.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,business activity,"gemet: any profit-seeking undertaking or venture that involves the production, sale and purchase of goods or services.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
business classification,True,False,False,,GEMET: The categorization of enterprises or organizations involved in an economy.,1,0,GEMET,1,GEMET: The categorization of enterprises or organizations involved in an economy.,,type of business (0.39) | phenomenon type (0.32) | aluminium industry (0.32),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,business classification,gemet: the categorization of enterprises or organizations involved in an economy.,['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
business economics,True,False,False,,"GEMET: The art of purchasing and selling goods from an economics perspective or a perspective involving the scientific study of the production, distribution, and consumption of goods and services.",1,0,GEMET,1,"GEMET: The art of purchasing and selling goods from an economics perspective or a perspective involving the scientific study of the production, distribution, and consumption of goods and services.",,industrial economics (0.41) | economic resources (0.37) | forestry economics (0.37) | agricultural economics (0.36) | economics (0.33) | trade and consumption (0.32) | agriculture production (0.30),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,business economics,"gemet: the art of purchasing and selling goods from an economics perspective or a perspective involving the scientific study of the production, distribution, and consumption of goods and services.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
business organisation,True,False,False,,"GEMET: A particular legal arrangement for owning a firm, the principal forms are sale trades, partnerships and companies/corporations; collective term for the system, function, process of planning, providing, coordinating, directing all efforts and resources in a business in order to achieve its goals.",1,0,GEMET,1,"GEMET: A particular legal arrangement for owning a firm, the principal forms are sale trades, partnerships and companies/corporations; collective term for the system, function, process of planning, providing, coordinating, directing all efforts and resources in a business in order to achieve its goals.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,business organisation,"gemet: a particular legal arrangement for owning a firm, the principal forms are sale trades, partnerships and companies/corporations; collective term for the system, function, process of planning, providing, coordinating, directing all efforts and resources in a business in order to achieve its goals.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
carbon leakage,True,False,False,,"GEMET: The situation that may occur if, for reasons of costs related to climate policies, businesses were to transfer production to other countries with laxer emission constraints. This could lead to an increase in their total emissions. The risk of carbon leakage may be higher in certain energy-intensive industries.",1,0,GEMET,1,"GEMET: The situation that may occur if, for reasons of costs related to climate policies, businesses were to transfer production to other countries with laxer emission constraints. This could lead to an increase in their total emissions. The risk of carbon leakage may be higher in certain energy-intensive industries.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,carbon leakage,"gemet: the situation that may occur if, for reasons of costs related to climate policies, businesses were to transfer production to other countries with laxer emission constraints. this could lead to an increase in their total emissions. the risk of carbon leakage may be higher in certain energy-intensive industries.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
catalog,True,False,False,,"HELIO Ontology: A tabular listing of events or observational notes, especially those that have utility in aiding a user in locating data. Catalogues include lists of events, files in a product, and data availability.; SPASE Dictionary: A tabular listing of events or observationalnotes, especially those that have utility in aiding a user in locating data.Catalogs include lists of events, files in a product, and data availability.A Catalog resource is a type of ""data product"" which is a set of data thatis uniformly processed and formatted, from one or more instruments,typically spanning the full duration of the observations of the relevantinstrument(s). A data product may consist of a collection of granules ofsuccessive time spans, but may be a single high-level entity.",2,0,HELIO Ontology | SPASE Dictionary,2,"HELIO Ontology: A tabular listing of events or observational notes, especially those that have utility in aiding a user in locating data. Catalogues include lists of events, files in a product, and data availability. || SPASE Dictionary: A tabular listing of events or observationalnotes, especially those that have utility in aiding a user in locating data.Catalogs include lists of events, files in a product, and data availability.A Catalog resource is a type of ""data product"" which is a set of data thatis uniformly processed and formatted, from one or more instruments,typically spanning the full duration of the observations of the relevantinstrument(s). A data product may consist of a collection of granules ofsuccessive time spans, but may be a single high-level entity.",HELIO Ontology <-> SPASE Dictionary,numerical data (0.46) | display data (0.37),Category 2 — Coalescible,Draft candidate merged definition,Conceptual core aligned with moderate variation (mean=0.67),"HELIO Ontology: A tabular listing of events or observational notes, especially those that have utility in aiding a user in locating data. Catalogues include lists of events, files in a product, and data availability. | SPASE Dictionary: A tabular listing of events or observationalnotes, especially those that have utility in aiding a user in locating data.Catalogs include lists of events, files in a product, and data availability.A Catalog resource is a type of ""data product"" which is a set of data thatis uniformly processed and formatted, from one or more instruments,typically spanning the full duration of the observations of the relevantinstrument(s). A data product may consist of a collection of granules ofsuccessive time spans, but may be a single high-level entity.",catalog,"helio ontology: a tabular listing of events or observational notes, especially those that have utility in aiding a user in locating data. catalogues include lists of events, files in a product, and data availability.; spase dictionary: a tabular listing of events or observationalnotes, especially those that have utility in aiding a user in locating data.catalogs include lists of events, files in a product, and data availability.a catalog resource is a type of ""data product"" which is a set of data thatis uniformly processed and formatted, from one or more instruments,typically spanning the full duration of the observations of the relevantinstrument(s). a data product may consist of a collection of granules ofsuccessive time spans, but may be a single high-level entity.","['helio ontology', 'spase dictionary']",0,1,0,1,0,3.0,1.7577796618689756,0.19999999999999996,0.2883124934680275,False,True,False,False,False
climate policy,True,False,False,,"GEMET: government or private actions designed to lower anthropogenic greenhouse gas (GHG) emissions, or to adapt to climate change",1,0,GEMET,1,"GEMET: government or private actions designed to lower anthropogenic greenhouse gas (GHG) emissions, or to adapt to climate change",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,climate policy,"gemet: government or private actions designed to lower anthropogenic greenhouse gas (ghg) emissions, or to adapt to climate change",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
closing down,True,False,False,,"GEMET: The cessation, discontinuation or breaking-off of a business transaction, lease, contract or employment arrangement, usually before its anticipated or stipulated end.",1,0,GEMET,1,"GEMET: The cessation, discontinuation or breaking-off of a business transaction, lease, contract or employment arrangement, usually before its anticipated or stipulated end.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,closing down,"gemet: the cessation, discontinuation or breaking-off of a business transaction, lease, contract or employment arrangement, usually before its anticipated or stipulated end.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
closing down of firm,True,False,False,,"GEMET: The termination or shutdown, temporary or permanent, of a corporation, factory or some other business organization.",1,0,GEMET,1,"GEMET: The termination or shutdown, temporary or permanent, of a corporation, factory or some other business organization.",,branch of activity (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,closing down of firm,"gemet: the termination or shutdown, temporary or permanent, of a corporation, factory or some other business organization.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
co-operation,False,True,False,,GEMET: management -> policy instrument -> co-operation,0,1,GEMET,1,GEMET hierarchy: management -> policy instrument -> co-operation,,development co-operation (0.92) | co-ordination (0.71) | scientific co-operation (0.64) | policy guideline (0.60) | approval (0.58) | allowance (0.56) | environmental priority (0.54) | environmental quality objective (0.53),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,co-operation,gemet: management -> policy instrument -> co-operation,['gemet'],0,1,0,1,0,1.0,0.4158883083359672,0.19999999999999996,0.044171779141104296,False,True,False,False,False
co-operation policy,True,False,False,,GEMET: Political course of action aiming at establishing trade agreements among the states.,1,0,GEMET,1,GEMET: Political course of action aiming at establishing trade agreements among the states.,,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,co-operation policy,gemet: political course of action aiming at establishing trade agreements among the states.,['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
co-ordination,False,True,False,,GEMET: management -> policy instrument -> co-ordination,0,1,GEMET,1,GEMET hierarchy: management -> policy instrument -> co-ordination,,co-operation (0.71) | development co-operation (0.59) | policy guideline (0.54) | approval (0.52) | allowance (0.50) | environmental priority (0.48) | environmental quality objective (0.47) | nature conservation policy (0.46),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,co-ordination,gemet: management -> policy instrument -> co-ordination,['gemet'],0,1,0,1,0,1.0,0.4158883083359672,0.19999999999999996,0.044171779141104296,False,True,False,False,False
collaborative consumption,True,False,False,,"GEMET: ways that allow consumers to obtain products or services more effectively and resource-efficiently, involving fundamentally changing the ways that consumer demands are met, including shifting from individual decisions to organised or collective demand",1,0,GEMET,1,"GEMET: ways that allow consumers to obtain products or services more effectively and resource-efficiently, involving fundamentally changing the ways that consumer demands are met, including shifting from individual decisions to organised or collective demand",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,collaborative consumption,"gemet: ways that allow consumers to obtain products or services more effectively and resource-efficiently, involving fundamentally changing the ways that consumer demands are met, including shifting from individual decisions to organised or collective demand",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
commercial transaction,True,False,False,,"GEMET: The conduct or carrying on of trade, business or a financial matter to a conclusion or settlement.",1,0,GEMET,1,"GEMET: The conduct or carrying on of trade, business or a financial matter to a conclusion or settlement.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,commercial transaction,"gemet: the conduct or carrying on of trade, business or a financial matter to a conclusion or settlement.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
commercial waste,True,False,False,,"GEMET: Waste from premises used mainly for the purposes of a trade or business or for the purpose of sport, recreation, education or entertainment, but excluding household, agricultural or industrial waste",1,0,GEMET,1,"GEMET: Waste from premises used mainly for the purposes of a trade or business or for the purpose of sport, recreation, education or entertainment, but excluding household, agricultural or industrial waste",,chemical commercial waste (0.38) | solid waste (0.32),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,commercial waste,"gemet: waste from premises used mainly for the purposes of a trade or business or for the purpose of sport, recreation, education or entertainment, but excluding household, agricultural or industrial waste",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
common commercial policy,True,False,False,,"GEMET: The set of uniform trade principles or practices established by an European Community customs union, which implements common tariff rates, tariff and trade agreements with non-member countries, import and export policies, and export promotion.",1,0,GEMET,1,"GEMET: The set of uniform trade principles or practices established by an European Community customs union, which implements common tariff rates, tariff and trade agreements with non-member countries, import and export policies, and export promotion.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,common commercial policy,"gemet: the set of uniform trade principles or practices established by an european community customs union, which implements common tariff rates, tariff and trade agreements with non-member countries, import and export policies, and export promotion.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
common tariff policy,True,False,False,,"GEMET: A course of action adopted and pursued by member countries, in which it is agreed to impose a system of duties or tax charges on imports from non-member countries.",1,0,GEMET,1,"GEMET: A course of action adopted and pursued by member countries, in which it is agreed to impose a system of duties or tax charges on imports from non-member countries.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,common tariff policy,"gemet: a course of action adopted and pursued by member countries, in which it is agreed to impose a system of duties or tax charges on imports from non-member countries.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
communication policy,True,False,False,,GEMET: Measures and practices adopted by governments relating to the management of communication media.,1,0,GEMET,1,GEMET: Measures and practices adopted by governments relating to the management of communication media.,,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,communication policy,gemet: measures and practices adopted by governments relating to the management of communication media.,['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
community-pays principle,True,False,False,,"GEMET: A tenet of environmental policy, according to which the costs of ecological challenges, environmental quality improvements and the removal of environmental hazards are allotted to community groups or local corporations and, thereby, to the general public.",1,0,GEMET,1,"GEMET: A tenet of environmental policy, according to which the costs of ecological challenges, environmental quality improvements and the removal of environmental hazards are allotted to community groups or local corporations and, thereby, to the general public.",,environmental quality objective (0.32),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,community-pays principle,"gemet: a tenet of environmental policy, according to which the costs of ecological challenges, environmental quality improvements and the removal of environmental hazards are allotted to community groups or local corporations and, thereby, to the general public.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
conservation policy,True,False,False,,"GEMET: The guiding procedure, philosophy or course of action for preserving and renewing human and natural resources.",1,0,GEMET,1,"GEMET: The guiding procedure, philosophy or course of action for preserving and renewing human and natural resources.",,industrial environmental policy (0.59) | municipal environmental policy (0.54) | business policy (0.54) | prices policy (0.53) | pricing policy of resources (0.47) | jurisprudence (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,conservation policy,"gemet: the guiding procedure, philosophy or course of action for preserving and renewing human and natural resources.",['gemet'],0,1,0,1,0,1.0,1.1090354888959124,0.19999999999999996,0.07988606485539002,False,True,False,False,False
