term,definitions,hierarchy_paths,sources
state spectral band,[],['SWEET -> stateSpectralBand'],['SWEET']
state spectral line,[],['SWEET -> stateSpectralLine'],['SWEET']
state storm,[],['SWEET -> stateStorm'],['SWEET']
state system,[],['SWEET -> stateSystem'],['SWEET']
state thermodynamic,[],['SWEET -> stateThermodynamic'],['SWEET']
state time,[],['SWEET -> stateTime'],['SWEET']
state time cycle,[],['SWEET -> stateTimeCycle'],['SWEET']
state time frequency,[],['SWEET -> stateTimeFrequency'],['SWEET']
state time geologic,[],['SWEET -> stateTimeGeologic'],['SWEET']
state visibility,[],['SWEET -> stateVisibility'],['SWEET']
static pressure,['The component of the force measured perpendicular to the flow per unitarea orientated parallel to the direction of fluid flow.'],['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC PRESSURE -> STATIC PRESSURE'],['GCMD']
static temperature,['The temperature of undisturbed (static) air.'],['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC TEMPERATURE -> SURFACE TEMPERATURE -> STATIC TEMPERATURE'],['GCMD']
station,"['A place along a route or line at which a bus, train, etc. stops for fuel or to pick up or let off passengers or goods, especially with ancillary buildings and services.']",['built environment -> infrastructure -> traffic infrastructure -> station'],['GEMET']
station height,['Also called Station Elevation. Station Height is the vertical distanceabove mean sea level that is adopted as the reference datum level for allcurrent measurements of atmospheric pressure at the station.'],['EARTH SCIENCE -> ATMOSPHERE -> ALTITUDE -> STATION HEIGHT'],['GCMD']
statistical analysis,['The body of techniques used in statistical inference concerning a population.'],['analysis -> statistical analysis'],"['AGU Index Terms', 'GEMET']"
statistical applications,"['Statistical Applications are defined as Data Analysis and Visualization Services that are designed to process Earth science data in a primarily numerical environment and that allow the user of the service to apply statistical or mathematical algorithms to the data in a non-graphical manner. Mathematical Applications may or may not include graphical visualization functionality but do not have visualization as their primary operation. EXAMPLES: A Spreadsheet, SPSS.']",['EARTH SCIENCE SERVICES -> DATA ANALYSIS AND VISUALIZATION -> STATISTICAL APPLICATIONS'],['GCMD']
statistical data,[],['environmental data -> statistical data'],['GEMET']
statistical information,"['Knowledge pertaining to the collection, classification, analysis and interpretation of numerical data.']",['information -> statistical information'],['GEMET']
statistical information system,"['A coordinated assemblage of people, devices or other resources enabling the exchange of numerical data that has been collected, classified or interpreted for analysis.']",['information -> information system -> statistical information system'],['GEMET']
statistical methods: descriptive,[],[],['AGU Index Terms']
statistical methods: inferential,[],[],['AGU Index Terms']
statistical series,['An ordered sequence of data samples in numerical form used to predict or demonstrate trends through time and space.'],['environmental data -> statistical data -> statistical series'],['GEMET']
statistics,"['A branch of mathematics dealing with the collection, analysis, interpretation, and presentation of masses of numerical data.']",['statistics'],['GEMET']
status of development,"[""The extent to which a society promotes human well-being in all dimensions of existence by forming people's capabilities, expanding choices and increasing opportunities.""]",['society -> sociopolitical aspect -> status of development'],['GEMET']
statutory declaration,"['A declaration made in a prescribed form before a justice of the peace, notary public, or other person authorized to administer an oath.']",['law (corpus of rules) -> statutory declaration'],['GEMET']
statutory public body,"['An association, supported in whole or part by public funding, that is established to operate programs for the public, often with little interference from government in day-to-day business.']",['institutional structure -> statutory public body'],['GEMET']
statutory text,"[""A document or a portion thereof expressing an official enactment of a legislative body, with emphasis on the document's precise wording or language.""]",['information -> documentation -> document -> document type -> statutory text'],['GEMET']
steady noise,"['Unceasing prolonged noise, without interruption.']",['science -> physical science -> acoustics -> noise -> noise type -> steady noise'],['GEMET']
steam fog,"[""(Or sea smoke; also called arctic sea smoke, antarctic sea smoke, frost smoke, water smoke, sea mist, steam mist.) Fog formed when water vapor is added to air that is much colder than the vapor's source; most commonly, when very cold air drifts across relatively warm water.No matter what the nature of the vapor source (warm water, industrial combustion exhaust, exhaled breath), its equilibrium vapor pressure is greater than that corresponding to the colder air; thus, the water vapor, upon becoming mixed with and cooled by the cold air, rapidly condenses. It should be noted that this mechanism never allows the fog to actually reach the vapor source. Also, upon further mixing in sufficiently turbulent or convective flow (only a slight degree is needed), the fog particles evaporate at a more or less well defined upper limit of the fog. Note, also, that although advection of air is necessary to produce steam fog, it differs greatly from an advection fog in the usual sense, which is caused by warm, moist air moving over a cold surface. Steam fog is commonly observed over lakes and streams on cold autumn mornings as well as in polar regions. It is sometimes confused with ice fog, but its particles are entirely liquid. At temperatures below -29°C (-20°F), these may freeze into droxtals and create a type of ice fog that may be known as frost smoke.""]",['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED) -> FOG -> STEAM FOG'],['GCMD']
steam generator,"['A pressurized system in which water is vaporized to steam by heat transferred from a source of higher temperature, usually the products of combustion from burning fuels. Also known as steam boiler.']",['equipment -> thermal equipment -> steam generator'],['GEMET']
stedma - stedman medical dictionary illustrated — twenty-second edition,[],['STEDMA - Stedman Medical Dictionary illustrated — Twenty-second Edition'],['GEMET']
steel,"['Any of various alloys based on iron containing carbon (usually 0.1-0.7 per cent) and often small quantities of other elements such as phosphorus, sulphur, manganese, chromium, and nickel. Steels exhibit a variety of properties, such as strength, machinability, malleability, etc., depending on their composition and the way they have been treated.']",['product -> industrial product -> alloy -> steel | product -> industrial product -> metal product -> steel'],['GEMET']
steel industry,['Industry that deals with the processing of iron.'],['industry -> metallurgical industry -> iron and steel industry -> steel industry'],['GEMET']
stellar astronomy,[],[],['AGU Index Terms']
stellar interiors and dynamo theory,[],[],['AGU Index Terms']
stereo,"['Solar TErrestrial RElations Observatory; A spacecraft mission consisting of two identical spacecraft, STEREO A (“Ahead”) and STEREO B (“Behind”) that orbit closer and further from the Sun, respectively, than does Earth. The spacecraft carry solar imagers and solar wind detectors. Their orbit configuration allows the spacecraft to separate from Earth so that they can provide stereoscopic views of disturbances leaving the Sun.']",['STEREO'],['NASA CCMC']
stereo euvi catalog,['STEREO/SECCHI/EUVI Event List'],['StereoEUVICatalog -> stereo euvi catalog'],['HELIO Ontology']
stereo hi solar wind catalog,['STEREO Heliospheric Imager Solar Wind Transient List'],['StereoHISolarWindCatalog -> stereo hi solar wind catalog'],['HELIO Ontology']
stereo hicme catalog,['STEREO Heliospheric Imager CME Event List'],['StereoHICMECatalog -> stereo hicme catalog'],['HELIO Ontology']
stereo-a,[],['STEREO-A'],['HELIO Ontology']
stereo-b,[],['STEREO-B'],['HELIO Ontology']
stereo_a__cor,[],['STEREO_A__COR'],['HELIO Ontology']
stereo_a__euvi,[],['STEREO_A__EUVI'],['HELIO Ontology']
stereo_a__hi,[],['STEREO_A__HI'],['HELIO Ontology']
stereo_a__mag,[],['STEREO_A__MAG'],['HELIO Ontology']
stereo_a__plastic,[],['STEREO_A__PLASTIC'],['HELIO Ontology']
stereo_a__sep,[],['STEREO_A__SEP'],['HELIO Ontology']
stereo_a__swaves,[],['STEREO_A__SWAVES'],['HELIO Ontology']
stereo_a__swea,[],['STEREO_A__SWEA'],['HELIO Ontology']
stereo_b__cor,[],['STEREO_B__COR'],['HELIO Ontology']
stereo_b__euvi,[],['STEREO_B__EUVI'],['HELIO Ontology']
stereo_b__hi,[],['STEREO_B__HI'],['HELIO Ontology']
stereo_b__mag,[],['STEREO_B__MAG'],['HELIO Ontology']
stereo_b__plastic,[],['STEREO_B__PLASTIC'],['HELIO Ontology']
stereo_b__sep,[],['STEREO_B__SEP'],['HELIO Ontology']
stereo_b__swaves,[],['STEREO_B__SWAVES'],['HELIO Ontology']
stereo_b__swea,[],['STEREO_B__SWEA'],['HELIO Ontology']
sterilisation (biological),['Procedure by which a human or other animal is made incapable of reproduction.'],['demography -> human population -> family planning -> sterilisation (biological)'],['GEMET']
sterilisation (process),['An act or process of destroying all forms of microbial life on and in an object.'],['industrial process -> sterilisation (process)'],['GEMET']
steroid,['A compound composed of a series of four carbon rings joined together to form a structural unit called cyclopentanoperhydrophenanthrene.'],['chemical -> biochemical substance -> steroid'],['GEMET']
sticklebacks,"['Distribution: Northern Hemisphere. Body may be elongate, naked or with bony scutes along the sides. Three to sixteen well-developed isolated dorsal spines preceed a normal dorsal fin having 6-14 rays; caudal fin rays 12-13; a single spine and 1-2 soft rays in the pelvic fin; three branchiostegal rays; circumorbital ring incomplete posteriorly; epineurals present; vertebrae 28-42. About 18 cm maximum length reached in Spinachia spinachia. Sticklebacks have been widely used in scientific studies. Several subspecies are recognized by authors and the family is in need of revision.']",['EARTH SCIENCE -> BIOLOGICAL CLASSIFICATION -> ANIMALS/VERTEBRATES -> FISH -> RAY-FINNED FISHES -> STICKLEBACKS'],['GCMD']
stochastic hydrology,[],[],['AGU Index Terms']
stochastic phenomena,[],[],['AGU Index Terms']
stochastic processes,[],[],['AGU Index Terms']
stock (biological),['A group of individuals of one species within a specified area.'],['forestry -> forestry practice -> stock (biological)'],['GEMET']
stock (trade),['Stored products ready for sale.'],['trade (services) -> stocktaking -> stock (trade)'],['GEMET']
stock management,['The handling or controlling of accumulated materials or stored goods.'],['business -> business organisation -> stock management'],['GEMET']
stocking,['To keep a supply accumulated for future use.'],['industrial process -> storage (process) -> stocking'],['GEMET']
stocktaking,"['The counting over of materials or goods on hand, as in a stockroom or store.']",['trade (services) -> stocktaking'],['GEMET']
stokes parameter,['The Stokes parameters are a set of values that describe the polarization state of electromagnetic radiation.'],['EARTH SCIENCE -> SPECTRAL/ENGINEERING -> RADAR -> STOKES PARAMETER'],['GCMD']
stokes parameters,"['A set of four parameters (usually called I,Q, U and V) which describe the polarization state of an electromagnetic wave propagating through space.', 'A set of four parameters (usually called I,Q,U and V) which describe the polarization state of an electromagnetic wavepropagating through space.']",['StokesParameters -> stokes parameters'],"['HELIO Ontology', 'SPASE Dictionary']"
stone,"['A general term for rock that is used in construction, either crushed for use as aggregate or cut into shaped blocks as dimension stone.']",['material -> building material -> stone'],['GEMET']
stonyhurst coordinate system,"[""One of two heliographic coordinate systems used for identifying the position of features on the Sun's surface. In the Stonyhurst system the zero point is set at the intersection of the Sun's equator and central meridian as seen from the Earth. Longitude increases towards the Sun's western limb. A solar feature will have a fixed latitude as it rotates across the solar disk, but its longitude will increase. This is in contrast to the Carrington heliographic coordinate system, where the longitude remains approximately fixed in time. Stonyhurst coordinates are named after Stonyhurst College in Lancashire, England, where they were devised in the 19th century.""]",['StonyhurstCoordinateSystem -> stonyhurst coordinate system'],['HELIO Ontology']
stop date,['The specification of a stopping point intime.'],['StopDate -> stop date'],['SPASE Dictionary']
stop location,['The final position in space.'],['StopLocation -> stop location'],['SPASE Dictionary']
storage,"['The component of your computer that allowsyou to store and access data on a long-term basis. Indicate units withstandard byte scales such as KB, MB, GB, TB and PB.']",['Storage'],['SPASE Dictionary']
storage (process),"['A series of actions undertaken to deposit or hold goods, materials or waste in some physical location, as in a facility, container, tank or dumping site.']",['industrial process -> storage (process)'],['GEMET']
storage dam,"['A barrier of concrete, earth, etc., built across a river to create a body of water.']",['built environment -> infrastructure -> water distribution system -> hydraulic construction -> dam -> storage dam'],['GEMET']
storm,['An atmospheric disturbance involving perturbations of the prevailing pressure and wind fields on scales ranging from tornadoes to extratropical cyclones; also the associated weather and the like.'],['climate -> meteorological phenomenon -> storm'],['GEMET']
storm damage,"['Storms may cause flooding and damage to crops; uproot trees; damage roofs and chimneys; break windows, leading to rain damage; overturn trucks; affect transportation, communication and energy supplies; delay building construction and destroy traditional landmarks. In their more violent form, storms may cause severe damage and loss of life.']",['effect -> environmental damage -> storm damage'],['GEMET']
storm relative winds,"['(Winds) measured relative to a moving thunderstorm, usually referring to winds, wind shear, or helicity.']","['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WINDS -> UPPER LEVEL WINDS -> STORM RELATIVE WINDS', 'EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WINDS -> SURFACE WINDS -> STORM RELATIVE WINDS']",['GCMD']
storm surge,"['A phenomena wherein sea level rises above the normal tide level whenhurricanes or tropical storms move from the ocean along or across acoastal region. This sea level rise can consists of three components, thefirst of which results from low barometric pressure, i.e. the so-calledinverse barometer effect, where lower atmospheric pressure on the surfaceof the water allows it to rise. The second component is wind set-up wherethe winds drag surface', 'A rise above normal sea level on the coast where the Ekman effect, fromstrong winds, causes the shallow waters to pile up against the shore.']","['EARTH SCIENCE -> OCEANS -> OCEAN WAVES -> STORM SURGE', 'EARTH SCIENCE -> OCEANS -> TIDES -> STORM SURGE', 'EARTH SCIENCE -> OCEANS -> COASTAL PROCESSES -> STORM SURGE']",['GCMD']
storm system motion,[],['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> TORNADOES -> STORM SYSTEM MOTION'],['GCMD']
storm water basin,['Basin used to hold water which falls as rain during a storm.'],['built environment -> building -> industrial site -> industrial plant (building) -> storm water basin'],['GEMET']
stormwater management,"['Stormwater management is the control and use of stormwater runoff. The goals of stormwater management include reducing flooding to protect people and property, reducing demand on public stormwater drainage systems, and supporting healthy streams and rivers. These can be achieved by planning for runoff, maintaining stormwater systems, and regulating the collection, storage, and movement of stormwater.']",['EARTH SCIENCE -> HUMAN DIMENSIONS -> ENVIRONMENTAL GOVERNANCE/MANAGEMENT -> WATER MANAGEMENT -> STORMWATER MANAGEMENT'],['GCMD']
stove,"['A chamber within which a fuel-air mixture is burned to provide heat, the heat itself being radiated outward from the chamber; used for space heating, process-fluid heating, and steel blast furnaces.']",['equipment -> thermal equipment -> stove'],['GEMET']
strahl,"['A distribution of particles concentrated in anarrow energy band. The band may be may be aligned with a secondary feature.For example, it may occur in a narrow cone aligned with the mean magneticfield direction.']",['Strahl'],['SPASE Dictionary']
strain,"[""Pertaining to the measurement, analysis, or modeling of strain that hasoccurred in the Earth's crust, either through in-situ measurements, or throughlaboratory experiments.""]",['EARTH SCIENCE -> SOLID EARTH -> TECTONICS -> PLATE TECTONICS -> STRAIN'],['GCMD']
stratification,"['The arrangement of a body of water, as a lake, into two or more horizontal layers of different characteristics, especially densities.']",['physical property -> stratification'],['GEMET']
stratigraphic sequence,"['A set of deposited sedimentary beds that reflects the depositional environment of those beds and the geologic history of a region. A stratigraphic sequence is a chronologic succession of sedimentary rocks from older below to younger above without interruption.', 'A set of deposited sedimentary beds that reflects the depositionalenvironment of those beds and the geologic history of a region. A stratigraphic sequence is a chronologic succession of sedimentary rocks fromolder below to younger above without interruption.', 'A chronological succession of sedimentary rocks .', 'A set of deposited sedimentary beds that reflects the depositionalenvironment of those beds and the geologic history of a region.', 'A chronological succession of sedimentary rocks.', 'A set of deposited sedimentary beds that reflects the depositional environment of those beds and the geologic history of a region.', 'A chronological succession of sedimentary rocks from older to younger above; essentially without interruption.', 'A set of deposited sedimentary beds that reflects the depositional environment.', 'A chronologic succession of sedimentary rocks.']","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> GLACIAL PROCESSES -> SEDIMENTATION -> STRATIGRAPHIC SEQUENCE', 'EARTH SCIENCE -> PALEOCLIMATE -> LAND RECORDS -> STRATIGRAPHIC SEQUENCE', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES -> SEDIMENTATION -> STRATIGRAPHIC SEQUENCE', 'EARTH SCIENCE -> OCEANS -> MARINE SEDIMENTS -> STRATIGRAPHIC SEQUENCE', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL PROCESSES -> SEDIMENTATION -> STRATIGRAPHIC SEQUENCE', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES -> SEDIMENTATION -> STRATIGRAPHIC SEQUENCE', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> AEOLIAN PROCESSES -> SEDIMENTATION -> STRATIGRAPHIC SEQUENCE', 'EARTH SCIENCE -> SOLID EARTH -> TECTONICS -> PLATE TECTONICS -> STRATIGRAPHIC SEQUENCE', 'EARTH SCIENCE -> CLIMATE INDICATORS -> PALEOCLIMATE INDICATORS -> LAND RECORDS -> STRATIGRAPHIC SEQUENCE', 'EARTH SCIENCE -> PALEOCLIMATE -> OCEAN/LAKE RECORDS -> STRATIGRAPHIC SEQUENCE', 'EARTH SCIENCE -> LAND SURFACE -> EROSION/SEDIMENTATION -> STRATIGRAPHIC SEQUENCE', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL PROCESSES -> SEDIMENTATION -> STRATIGRAPHIC SEQUENCE', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> GLACIAL PROCESSES -> SEDIMENTATION -> STRATIGRAPHIC SEQUENCE', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> AEOLIAN PROCESSES -> SEDIMENTATION -> STRATIGRAPHIC SEQUENCE', 'EARTH SCIENCE -> CLIMATE INDICATORS -> PALEOCLIMATE INDICATORS -> OCEAN/LAKE RECORDS -> STRATIGRAPHIC SEQUENCE']",['GCMD']
stratocumulus,"['Low-level clumps or patches of cloud varying in color from bright white to dark grey. They are the most common clouds on earth recognized by their well-defined bases, with some parts often darker than others. They usually have gaps between them, but they can also be joined together.']",['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED) -> STRATOCUMULUS'],['GCMD']
stratocumulus castellanus,"['(Previously called castellatus.) A cloud species of which at least a fraction of its upper part presents some vertically developed cumuliform protuberances (some of which are taller than they are wide) that give the cloud a crenellated or turreted appearance.This castellanus character is especially evident when the cloud is seen from the side. The cumuliform cloud elements generally have a common base and usually seem to be arranged in lines. The species is found only in the genera cirrus, cirrocumulus, altocumulus, and stratocumulus. Cirrus castellanus differs from cirrocumulus castellanus in that its vertical protuberances subtend an angle of more than 1° when observed at an angle of more than 30° above the horizon. When altocumulus castellanus and stratocumulus castellanus attain a considerable vertical development, they become cumulus congestus and often develop into cumulonimbus. Stratocumulus castellanus should not be confused with stratocumulus pierced by cumulus.']",['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED) -> STRATOCUMULUS -> STRATOCUMULUS CUMILIFORMIS -> STRATOCUMULUS CASTELLANUS'],['GCMD']
stratocumulus cumiliformis,"[""A cloud type that has a cumuliform 'lump' at its base.""]",['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED) -> STRATOCUMULUS -> STRATOCUMULUS CUMILIFORMIS'],['GCMD']
stratocumulus diurnalis,[],['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED) -> STRATOCUMULUS -> STRATOCUMULUS CUMILIFORMIS -> STRATOCUMULUS DIURNALIS'],['GCMD']
stratocumulus lenticularis,"['(Or lenticular cloud.) A cloud species the elements of which have the form of more or less isolated, generally smooth lenses or almonds; the outlines are sharp and sometimes show irisation.These clouds appear most often in formations of orographic origin, the result of lee waves, in which cases they remain nearly stationary with respect to the terrain (standing cloud), but they also occur in regions without marked orography. This species is found mainly in the genera cirrocumulus, altocumulus, and (rarely) stratocumulus. Altocumulus lenticularis differs from cirrocumulus lenticularis in that, when smooth and without elements, it has shadowed parts while the latter is very white throughout. When undulated or subdivided, the altocumulus species differs from stratocumulus lenticularis in that its elements subtend an angle of less than 5° when viewed at an angle of more than 30° above the horizon.']",['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED) -> STRATOCUMULUS -> STRATOCUMULUS UNDULATAS -> STRATOCUMULUS LENTICULARIS'],['GCMD']
stratocumulus mammatus,"['Hanging protuberances, like pouches, on the undersurface of a cloud.This supplementary cloud feature occurs mostly with cirrus, cirrocumulus, altocumulus, altostratus, stratocumulus, and cumulonimbus; in the case of cumulonimbus, mamma generally appear on the underside of the anvil (incus). American Meteorological Society (http://glossary.ametsoc.org/wiki/Main_Page)']",['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED) -> STRATOCUMULUS -> STRATOCUMULUS CUMILIFORMIS -> STRATOCUMULUS MAMMATUS'],['GCMD']
stratocumulus opacus,"['A variety of cloud (sheet, layer, or patch), the greater part of which is sufficiently dense to obscure the sun (betweeen 10 and 20 optical depths).This variety is found in the genera altocumulus, altostratus, stratocumulus, and stratus. (Note: cumulus and cumulonimbus clouds are inherently opaque.) In the case of altocumulus opacus or stratocumulus opacus the elements stand out in true relief at the cloud base, rather than as a consequence of varying degrees of opacity. Also, in these cases, this variety usually modifies the species stratiformis.']",['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED) -> STRATOCUMULUS -> STRATOCUMULUS UNDULATAS -> STRATOCUMULUS OPACUS'],['GCMD']
stratocumulus perlucidus,"['A cloud variety, usually of the species stratiformis, in which distinct spaces between its elements permit the sun, moon, blue sky, or higher clouds to be seen.These openings may be very small. This variety is found only in the genera altocumulus and stratocumulus.']",['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED) -> STRATOCUMULUS -> STRATOCUMULUS UNDULATAS -> STRATOCUMULUS PERLUCIDUS'],['GCMD']
stratocumulus translucidus,"['A cloud variety occurring in a layer, patch, or extensive sheet, the greater part of which is sufficiently translucent to reveal the position of the sun, or through which higher clouds may be discerned.This variety is found in the genera altocumulus, altostratus, stratocumulus, and stratus, and is usually a modification of the species stratiformis or lenticularis.']",['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED) -> STRATOCUMULUS -> STRATOCUMULUS UNDULATAS -> STRATOCUMULUS TRANSLUCIDUS'],['GCMD']
stratocumulus undulatas,"['A layer composed of large and often grey elements, arranged in a system of nearly parallel lines. A double system of undulations is sometimes visible in the form of transverse lines that cross the main system. The elements then appear to be arranged in “rank and file”. Stratocumulus undulatus occurs in the species stratiformis.']",['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED) -> STRATOCUMULUS -> STRATOCUMULUS UNDULATAS'],['GCMD']
stratocumulus vesperalis,[],['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED) -> STRATOCUMULUS -> STRATOCUMULUS CUMILIFORMIS -> STRATOCUMULUS VESPERALIS'],['GCMD']
stratopause,['The top of the inversion layer in the upper stratosphere at an altitudeof about 50 kilometers (31 miles).'],"['Stratopause', 'EARTH SCIENCE -> ATMOSPHERE -> ALTITUDE -> STRATOPAUSE']","['Space Weather Glossary (Second)', 'GCMD']"
stratosphere,"['The layer of the atmosphere that extends fromthe troposphere to about 30 km, temperature increases with height. Thestratosphere contains the ozone layer.', 'That region of the Earth’s atmosphere between the troposphere and the mesosphere. It begins at an altitude of temperature minimum at approximately 13 km and defines a layer of increasing temperature up to about 50 km.', 'The layer of the atmosphere which is sandwiched between the troposphere and mesosphere. Of the energy that reaches the Earth from the sun, only 3% is absorbed in the stratosphere, but that includes the vitally important process of absorption of ultraviolet radiation by the stratospheric ozone layer. The stratosphere is cloudless and dust free, and almost unaffected by the turbulent conditions of the underlying level of the atmosphere.']","['Stratosphere', 'stratosphere', 'atmosphere -> atmospheric structure -> stratosphere']","['HELIO Ontology', 'SPASE Dictionary', 'Space Weather Glossary', 'Space Weather Glossary (Second)', 'GEMET']"
stratosphere/troposphere interactions,[],[],['AGU Index Terms']
stratospheric clouds (observed/analyzed),['High-altitude clouds that form in the winter stratosphere and play a key role in the depletion of the ozone layer.'],['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> STRATOSPHERIC CLOUDS (OBSERVED/ANALYZED)'],['GCMD']
stratospheric dynamics,[],[],['AGU Index Terms']
stratospheric ozone depletion,"['Damage of the ozone shield by chemicals released on Earth. The main chemicals that are depleting stratospheric ozone are chlorofluorocarbons (CFCs), which are used in refrigerators, aerosols, and as cleaners in many industries, and halons which are used in fire extinguishers. The damage is caused when these chemicals release highly reactive forms of chlorine and bromine.']",['atmosphere -> air -> atmospheric composition -> atmospheric component -> atmospheric ozone -> ozone depletion -> stratospheric ozone depletion | climate -> global climate -> global warming -> ozone layer depletion -> stratospheric ozone depletion | effect -> climate effect -> global warming -> ozone layer depletion -> stratospheric ozone depletion'],['GEMET']
stratospheric temperature anomalies,"['Refers to temperature anomalies in the stratosphere. A temperature anomaly means a departure from a reference value or long-term average. A positive anomaly indicates that the observed temperature was warmer than the reference value, while a negative anomaly indicates that the observed temperature was cooler than the reference value.']",['EARTH SCIENCE -> CLIMATE INDICATORS -> ATMOSPHERIC/OCEAN INDICATORS -> TEMPERATURE INDICATORS -> STRATOSPHERIC TEMPERATURE ANOMALIES'],['GCMD']
stratospheric water vapor,['Concentrations and transport of water vapor in Earth’s stratosphere.'],['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WATER VAPOR -> WATER VAPOR PROFILES -> STRATOSPHERIC WATER VAPOR'],['GCMD']
stratus,"['A principal cloud type, forming in the low levels of the troposphere and normally existing as a flat layer that does not exhibit individual elements. In aviation forecasts and reports it is coded as ST.']",['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED) -> STRATUS'],['GCMD']
stratwarm,"['A code word designating a major disturbance of the winter, polar, middle atmosphere from the tropopause to the ionosphere, lasting for several days at a time and characterized by a warming of the stratospheric temperature by some tens of degrees. There is no evidence that stratwarms are caused by solar events, or that they affect the lower atmosphere. The primary effect is upon HF propagation.']",['STRATWARM'],['Space Weather Glossary']
stream,"[""A long narrow channel of water that flows as a function of gravity and elevation across the Earth's surface. Many streams empty into lakes, seas or oceans.""]","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL LANDFORMS -> STREAM', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL LANDFORMS -> STREAM']",['GCMD']
stream interaction region,"['The region (SIR) where two solar wind streams, typically having differing characteristics and solar sources, abut up against (and possibly partially interpenetrate) each other. (spase)', 'The region (SIR) where two solar windstreams, typically having differing characteristics and solar sources, abutup against (and possibly partially interpenetrate) each other.']",['StreamInteractionRegion -> stream interaction region'],"['HELIO Ontology', 'SPASE Dictionary']"
stream measurement,"['The quantitative determination of the rate and amount of flow or discharge from a natural body of running water, such as a small river or brook.']",['monitoring -> water monitoring -> stream measurement'],['GEMET']
stream terrace,"['Also known as fluvial terraces are elongated terraces that flank the sides of floodplains and fluvial valleys all over the world. They consist of a relatively level strip of land, called a “tread,” separated from either an adjacent floodplain, other fluvial terraces, or uplands by distinctly steeper strips of land called “risers.” These terraces lie parallel to and above the river channel and its floodplain. Because of the manner in which they form, fluvial terraces are underlain by fluvial sediments of highly variable thickness.']","['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL LANDFORMS -> STREAM TERRACE', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL LANDFORMS -> STREAM TERRACE']",['GCMD']
streamer,['features in the solar corona that overlie regions of closed magnetic field. They are sometimes called helmet streamers because they appear as pointed helmet-like features in the solar coronal.'],['streamer'],['NASA CCMC']
